songstats_id,PWR,title
cwp1qd3f,78.485,shiver
u678vyr0,62.7595,i only smoke when i drink
m96i3hal,59.6412,neverender
18d6vo7s,59.1465,go back
5b4lxnqk,49.8979,carry you
5fa9ocw2,48.8193,told you so
lys0k7po,42.1223,wherever you are
0irvlcag,39.9518,mas que nada
ikgxmuqe,37.2481,empty
q8tuyfla,36.2989,wildfire
uz70il9p,36.2585,gravity
3p1vc6l7,36.0844,follow the light
6nw3ti2j,35.5767,breakaway
wcgnpf46,34.5214,biochemical
14sr9f60,32.8478,open sesame abracadabra
uf4wi6cj,31.9556,push the tempo
g0yrdav2,31.2919,eye of the untold her
d81jluk6,30.002,this moment
qdambek6,28.6518,napalm
z1ytbp9h,28.4469,only god knows
qmr6e0bx,27.9384,16
c19nzbak,27.048,energy
j2bf9ldo,26.4416,worlds apart
w1g8yd3o,26.3982,mr. sandman
9dgc7xwy,26.38,young again
bext2ui8,26.2333,move
wgux2a8t,25.7644,delete our love
02b5idre,25.3005,beast mode knock you out
cgqv3nj1,25.1442,deeper underground
snbolr6j,24.6008,sexyback
wx93mcy6,24.4668,next to me
sb91oawt,24.342,dear alan
pvqdi5wy,23.9918,xtc
2d4belft,23.2751,heaven knows
aqniph8v,23.0876,keep pushin' beast
9zpfweul,22.8491,eternity massano remix
x72g9aej,22.7328,evil twin
wqyd1pjm,22.4082,control your body hardwell edit
cbex2h59,21.0138,nervous system
8xfvps6h,20.5086,believe
keg9jd1m,20.4506,inevitable
kqfsmez9,18.8688,bad decisions
x79nc283,18.6451,lo lo
lqhiob1p,18.184,cluster
md9jbhqz,18.1108,don't tell me
y8g73uo0,17.9407,once again
irxg4to7,17.9381,armed & dangerous
ekbnt3fw,17.9227,state of mind
zxw4cpfh,17.8165,rawthentic
lwpe84ry,17.5562,let it out
qimt80v1,17.4318,hooked
0k3b2t1v,17.3888,no tomorrow p money whiney remix
hb7kard6,17.3708,one your name
43pyqbu6,17.3433,i'll be there
t79fy2kc,17.3251,collide
8k03risz,17.3068,atmosphere
02gpwelk,17.185,never alone
oq34fj1t,16.6579,stealing fire
ue2wa0m4,16.5817,comedown
lydbnhf9,16.5686,lost my mind
ghrnyemz,16.5542,nowhere to hide
nyrlxc9d,16.4342,g.o.d.
putdq57b,16.3416,ascend
em4stqoh,16.2886,himalaya
az7qdw3y,16.2855,closer
waxiv864,16.2443,believe what you want
klytmaou,16.1423,finality
rnhjcteu,16.0365,love the time
snihfc9w,15.9487,anywhere you go
nf7jv3mx,15.94,serenity
tahjsu7x,15.897,i'm alive
tocnisma,15.8952,loca loca vion konger remix
x8mp7uj6,15.7768,not even love muzz remix
lou6ym7x,15.5924,liquor by the litre
8y3jwcfi,15.572,anywhere
1zvliua8,15.5161,monster
ytrvfc0i,15.4546,cold case
b2axlsjd,15.3367,dame mas
2gf1ledh,15.2321,champion
inotg85a,15.2093,kill the lights
r3y6qe75,15.1457,falling in love
